Ra*_key,Porosity,Perm,l,H,Tortuosity,Da,Re_N.D.,tau_f,kinVisc,C_f,ks/kf,kf/ks,kf/km,Pr_f,nu/alpha_m,Pr_e,Pr_p,Ra_f,Ra*,Ra*/Pr_p,Nu,Nu/Pr_p,Nu/(Ra* /40),delta_thermal,Lambda,Re_l,"Re_z,K",Re_K,E_kin_z,Epsilon_tot,Epsilon_th,Epsilon_kin,Std_tot,Std_th,Std_kin,DEpsTot,DEpsKin,DEpsTh,Osc
100.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,10.0,0.1,0.265,1.0,0.265,0.000739,817.0,110000000.0,26.50022197,0.0324417879999999,1.0,,,493.0,14.3,,,,,,,,,,,,,,03a0ffff
300.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,10.0,0.1,0.265,1.0,0.265,0.000739,817.0,331000000.0,79.5006659,0.0973253639999999,1.65,0.00202,0.828,278.0,8.08,0.194,0.0244,0.0352,0.148,1.92e-06,1.92e-06,1.18e-11,5.24e-06,5.24e-06,6.25e-11,0.367,0.19,0.367,03a0ffff
500.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,10.0,0.1,0.265,1.0,0.265,0.000739,817.0,552000000.0,132.5011098,0.16220894,2.79,0.00341,0.842,156.0,4.55,0.402,0.0509,0.073,0.656,3.28e-06,3.28e-06,5.36e-11,1.08e-05,1.08e-05,2.85e-10,0.303,0.188,0.303,03a0ffff
750.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,10.0,0.1,0.265,1.0,0.265,0.000739,817.0,829000000.0,198.7516647,0.243313409,3.9,0.00477,0.784,104.0,3.03,0.611,0.0776,0.111,1.57,4.58e-06,4.58e-06,1.29e-10,1.72e-05,1.72e-05,7e-10,0.266,0.185,0.266,03a0ffff
1000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,10.0,0.1,0.265,1.0,0.265,0.000739,817.0,1100000000.0,265.0022197,0.324417879,4.03,0.00493,0.608,101.0,2.95,0.765,0.0977,0.139,2.39,2.35e-06,2.35e-06,2.25e-11,8.92e-06,8.92e-06,1.16e-10,0.263,0.195,0.263,03a0ffff
2000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,10.0,0.1,0.265,1.0,0.265,0.000739,817.0,2210000000.0,530.0044393,0.648835758,6.38,0.00781,0.481,59.4,1.73,1.27,0.16,0.23,3.75e-07,3.78e-06,3.78e-06,7.77e-11,1.74e-05,1.74e-05,4.54e-10,0.217,0.171,0.217,450457ff
3000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,10.0,0.1,0.265,1.0,0.265,0.000739,817.0,3310000000.0,795.006659,0.973253637,7.27,0.0089,0.366,47.7,1.39,1.66,0.204,0.301,13.1,4.41e-06,4.41e-06,1.33e-10,2.37e-05,2.37e-05,7.63e-10,0.186,0.175,0.186,433880ff
5000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,10.0,0.1,0.265,1.0,0.265,0.000739,817.0,5520000000.0,1325.011098,1.622089396,10.9,0.0134,0.329,32.6,0.948,2.8,0.362,0.508,37.0,7.14e-06,7.14e-06,3.48e-10,3.88e-05,3.88e-05,1.67e-09,0.184,0.208,0.184,2b7a8cff
7500.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,10.0,0.1,0.265,1.0,0.265,0.000739,817.0,8290000000.0,1987.516647,2.433134094,13.9,0.017,0.279,24.4,0.71,3.39,0.422,0.615,62.5,1.11e-05,1.11e-05,6.4e-10,7.22e-05,7.22e-05,3.65e-09,0.154,0.176,0.154,2ba48cff
10000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,10.0,0.1,0.265,1.0,0.265,0.000739,817.0,11000000000.0,2650.022197,3.244178792,13.6,0.0166,0.205,24.8,0.723,3.86,0.482,0.701,83.3,1.2e-05,1.2e-05,8.33e-10,7.94e-05,7.94e-05,4.78e-09,0.152,0.174,0.152,43b572ff
12000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.5025,0.000833333,0.341,10.0,0.1,0.265,1.0,0.265,0.000739,817.0,13300000000.0,3180.026636,3.89301455,14.3,0.0175,0.179,24.1,0.701,4.21,0.523,0.763,101.0,6.45e-06,6.45e-06,1.27e-10,4.24e-05,4.24e-05,7.34e-10,0.152,0.173,0.152,6fcb5bff
