Ra*_key,Porosity,Perm,l,H,Tortuosity,Da,Re_N.D.,tau_f,kinVisc,C_f,ks/kf,kf/ks,kf/km,Pr_f,nu/alpha_m,Pr_e,Pr_p,Ra_f,Ra*,Ra*/Pr_p,Nu,Nu/Pr_p,Nu/(Ra* /40),delta_thermal,Lambda=delta/(r+l),Re_l,"Re_z,K",Re_K,E_kin_z,Epsilon_tot,Epsilon_th,Epsilon_kin,Std_tot,Std_th,Std_kin,DEpsTot,DEpsKin,DEpsTh,Osc
100.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,10.0,0.1,0.311,1.0,0.311,0.0022,838.0,38100000.0,31.09937419,0.0370905809999999,1.0,,,552.0,14.9,,,,,,,,,,,,,,03a0ffff
300.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,10.0,0.1,0.311,1.0,0.311,0.0022,838.0,114000000.0,93.29812253,0.111271744,1.97,0.00235,0.844,272.0,7.31,0.299,0.0422,0.0584,0.272,1.96e-06,1.96e-06,4.83e-12,4.85e-06,4.85e-06,2.02e-11,0.405,0.239,0.405,03a0ffff
500.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,10.0,0.1,0.311,1.0,0.311,0.0022,838.0,191000000.0,155.4968709,0.185452906,3.23,0.00385,0.83,160.0,4.31,0.578,0.0816,0.113,1.03,3.22e-06,3.22e-06,1.84e-11,9.79e-06,9.79e-06,7.78e-11,0.329,0.237,0.329,03a0ffff
1000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,10.0,0.1,0.311,1.0,0.311,0.0022,838.0,381000000.0,310.9937419,0.3709058129999999,5.05,0.00602,0.649,96.4,2.59,1.07,0.15,0.209,3.74,2.5e-06,2.5e-06,8.33e-12,9.25e-06,9.25e-06,3.71e-11,0.271,0.224,0.271,03a0ffff
2000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,10.0,0.1,0.311,1.0,0.311,0.0022,838.0,762000000.0,621.9874838,0.7418116249999999,4.67,0.00557,0.3,87.6,2.36,1.56,0.202,0.304,7.14,2.59e-06,2.59e-06,1.75e-11,1.09e-05,1.09e-05,7.93e-11,0.238,0.221,0.238,440659ff
3000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,10.0,0.1,0.311,1.0,0.311,0.0022,838.0,1140000000.0,932.9812253,1.112717437,5.4,0.00644,0.232,78.2,2.1,1.93,0.247,0.376,11.2,2.9e-06,2.9e-06,2.76e-11,1.39e-05,1.39e-05,1.23e-10,0.209,0.224,0.209,432672ff
5000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,10.0,0.1,0.311,1.0,0.311,0.0022,838.0,1910000000.0,1554.968709,1.854529062,8.12,0.00969,0.209,57.3,1.54,2.91,0.392,0.569,30.9,4.15e-06,4.15e-06,7.1e-11,2.23e-05,2.23e-05,3.3e-10,0.186,0.215,0.186,3e4886ff
10000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,10.0,0.1,0.311,1.0,0.311,0.0022,838.0,3810000000.0,3109.937419,3.709058126,8.88,0.0106,0.114,43.9,1.18,4.25,0.538,0.829,61.2,4.77e-06,4.77e-06,1.6e-10,3.25e-05,3.25e-05,6.9e-10,0.146,0.231,0.146,2c748dff
20000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.5025,0.000833333,0.229,10.0,0.1,0.311,1.0,0.311,0.0022,838.0,7620000000.0,6219.874837,7.418116251,12.2,0.0146,0.0785,34.6,0.932,6.56,0.835,1.28,157.0,3.11e-06,3.11e-06,5.22e-11,2.17e-05,2.17e-05,2.23e-10,0.144,0.234,0.144,229c87ff
40000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.5025,0.000833333,0.229,10.0,0.1,0.311,1.0,0.311,0.0022,838.0,15200000000.0,12439.74968,14.8362325,15.0,0.0179,0.0482,26.2,0.705,10.6,1.36,2.07,438.0,5.04e-06,5.04e-06,1.49e-10,3.31e-05,3.31e-05,6.07e-10,0.152,0.246,0.152,57bf65ff
100.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,5.0,0.2,0.407,1.0,0.407,0.00288,1100.0,38100000.0,40.69918102,0.0370905809999999,1.0,,,491.0,13.2,,,,,,,,,,,,,,03a0ffff
300.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,5.0,0.2,0.407,1.0,0.407,0.00288,1100.0,114000000.0,122.097543,0.111271744,2.66,0.00243,0.873,179.0,4.81,0.339,0.048,0.0662,0.354,1.85e-06,1.85e-06,6.33e-12,4.24e-06,4.24e-06,2.65e-11,0.436,0.239,0.436,03a0ffff
500.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,5.0,0.2,0.407,1.0,0.407,0.00288,1100.0,191000000.0,203.495905,0.185452906,4.02,0.00366,0.79,114.0,3.07,0.581,0.0822,0.113,1.07,2.81e-06,2.81e-06,1.91e-11,7.72e-06,7.72e-06,8.23e-11,0.364,0.232,0.364,03a0ffff
1000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,5.0,0.2,0.407,1.0,0.407,0.00288,1100.0,381000000.0,406.9918102,0.3709058129999999,6.17,0.00563,0.607,69.0,1.86,1.05,0.147,0.205,3.67,2.21e-06,2.21e-06,8.16e-12,7.81e-06,7.81e-06,3.72e-11,0.283,0.219,0.283,440558ff
2000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,5.0,0.2,0.407,1.0,0.407,0.00288,1100.0,762000000.0,813.9836203,0.7418116249999999,5.24,0.00477,0.257,72.3,1.94,1.37,0.356,0.268,5.51,3.91e-06,3.91e-06,1.08e-10,1.49e-05,1.49e-05,4.56e-10,0.263,0.237,0.263,43347dff
