Re	G	Res	Regime
0.00265	1.00000	829	Darcy
0.00353	1.00000	829	Darcy
0.00442	1.00001	829	Darcy
0.00530	1.00001	829	Darcy
0.00618	1.00002	829	Darcy
0.00707	1.00002	829	Darcy
0.00795	1.00003	829	Darcy
0.00883	1.00004	829	Darcy
0.01060	1.00006	829	Darcy
0.01148	1.00007	829	Darcy
0.01237	1.00008	829	Darcy
0.01325	1.00009	829	Darcy
0.01413	1.00010	829	Darcy
0.01502	1.00012	829	Darcy
0.01590	1.00013	829	Darcy
0.01678	1.00015	829	Darcy
0.02649	1.00037	829	Darcy
0.03531	1.00067	829	Darcy
0.04417	1.00010	829	Darcy
0.05293	1.00149	829	Darcy
0.06171	1.00202	829	Darcy
0.07049	1.00262	829	Darcy
0.07925	1.00331	829	Darcy
0.08798	1.00406	829	Darcy
0.10540	1.00583	829	Darcy
0.11408	1.00668	829	Darcy
0.12273	1.00770	829	Darcy
0.13136	1.00878	829	Darcy
0.13996	1.00992	829	Darcy
0.14853	1.01112	829	non-Darcy
0.15707	1.01238	829	non-Darcy
0.16558	1.01370	829	non-Darcy
0.17406	1.01507	829	non-Darcy
0.19092	1.01797	829	non-Darcy
0.20765	1.02107	829	non-Darcy
0.22423	1.02435	829	non-Darcy
0.24066	1.02781	829	non-Darcy
0.33604	1.05158	829	non-Darcy
0.48275	1.09798	829	non-Darcy
0.61629	1.14675	829	non-Darcy
0.76710	1.19570	1621	non-Darcy
0.91930	1.26410	829	non-Darcy
0.95615	1.28145	1621	non-Darcy
1.29722	1.41680	1621	non-Darcy
1.60972	1.52233	1621	non-Darcy
1.90457	1.60831	1621	non-Darcy
2.18763	1.68027	1621	non-Darcy
2.46252	1.74147	1621	non-Darcy
2.66832	1.83677	1621	non-Darcy
2.81057	1.96176	1621	vortex-sh
2.94133	2.08283	1621	vortex-sh
