Ra_D,Nu
7460.09811624019,20.3205991043469
9082.69278743919,20.9235282953511
10021.8908304794,21.8616299963405
18486.5810928045,25.6757896779659
21078.3522130965,27.8255940220712
35625.1650499669,33.4048498351324
44332.6453595084,33.1615575575694
49998.3146841732,38.1024042994628
66437.327728353,43.4605520026269
73307.2956605042,42.8297985548506
100658.163588786,47.7930866096893
108664.420784918,43.7794036326358
136710.688072468,46.0778348126382
126638.01734674,51.4175182768393
173886.516366412,56.5432740962822
179684.626479185,52.9431190988872
193976.575413008,58.6481028691437
221171.592363127,61.2775774149623
266349.013210627,60.8312840938904
297121.769570462,67.8806561640636
338777.477444025,62.6361992304048
377918.289898772,73.028446717898
377918.289898772,67.3862716803095
386273.208419752,65.9246175587139
450164.579308472,67.8806561640636
450164.579308472,75.746937614401
460116.699863846,74.1039349552306
674620.958092647,79.1430345832182
638731.211858193,83.9091890474843
542117.051290794,78.5666245938894
572578.132632969,79.1430345832182
682037.363862416,85.1449177241913
906285.344858891,83.9091890474843
1103405.2417075,93.6329208823942
1022107.73795367,95.0118507318144
1140197.4279225,102.217159804217
1230887.67635192,100
1635592.88882331,115.742288059206
2035363.46824041,127.280509398106
1466195.33325409,106.022203330167
1373098.85301113,110.775685050971
1271930.66480829,106.022203330167
1314342.19966721,100.733657570639
1044704.22798476,100
