Name,Fluid,Solid,Porosity,H_over_d,Da,rhoCp_f/rhoCp_m,Pr_f,nu/alpha_m,km_over_kf,Pr_p,Key,Comment,,,,,
Bavandla & Srinivasan [2025],Ar,Glass,0.41,150,0.0000000587,0.0219,0.69,0.208,14.6,366,Bavandla_2025_Gl_Ar_H_d_150,"T_mean ~ 20.5 °C, p~30bar",,,,,
Bavandla & Srinivasan [2025],Ar,Steel,0.401,50,0.000000479,0.0115,0.7,0.217,29.16,71,Bavandla_2025_St_Ar_H_d_50,"T_mean ~ 20.5 °C, p~30bar",,,,,
Bavandla & Srinivasan [2025],Ar,Al,0.399,50,0.000000469,0.0177,0.7,0.394,34.28,61,Bavandla_2025_Al_Ar_H_d_50,"T_mean ~ 20.5 °C, p~30bar",,,,,
Bavandla & Srinivasan [2025],Ar,Al,0.407,150,0.0000000568,0.0179,0.68,0.321,27.51,196,Bavandla_2025_Al_Ar_H_d_150,"T_mean ~ 20.5 °C, p~30bar",,,,,
Bavandla & Srinivasan [2024],Ar,Glass,0.402,25,0.00000194,0.0216,0.68,0.247,17.61,65,Bavandla_2024_Gl_Ar_H_d_25,"T_mean ~ 20.5 °C, p~30bar",,,,,
Bavandla & Srinivasan [2024],Ar,Glass,0.409,50,0.000000522,0.0219,0.69,0.222,15.68,124,Bavandla_2024_Gl_Ar_H_d_50,"T_mean ~ 20.5 °C, p~30bar",,,,,
Bavandla & Srinivasan [2024],Ar,Glass,0.389,66.7,0.000000237,0.0212,0.69,0.252,18.47,154,Bavandla_2024_Gl_Ar_H_d_67,"T_mean ~ 20.5 °C, p~30bar",,,,,
Bavandla & Srinivasan [2024],Ar,Glass,0.396,83.3,0.000000163,0.0214,0.69,0.249,18.13,187,Bavandla_2024_Gl_Ar_H_d_83,"T_mean ~ 20.5 °C, p~30bar",,,,,
Bavandla & Srinivasan [2024],Ar,Glass,0.401,100,0.00000012,0.0216,0.69,0.257,18.58,211,Bavandla_2024_Gl_Ar_H_d_100,"T_mean ~ 20.5 °C, p~30bar",,,,,
Keene & Goldstein [2015],Ar,PP,0.48,11,0.0000218,0.04,6.9,3.423,5.04,58,Keene_Goldstein,"Room T. 20 °C, rho Cp range:={5.29e-3, 7.05e-2}; 5.6 to 77 bar, rho Cp @41.3 bar",,,,,
Buretta & Berman [1976],Water,Glass,0.42,6.2,0.0000242,1.43,6.15,3.74,1.15,1875,Buretta6,"T_mean assumed: ~ 25 °C, p_atm ",,,,,
